INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-05-18', 'Cancelado', 37, 7, 16, 204.61);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-10-17', 'Confirmado', 33, 4, 29, 941.55);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-09-22', 'Cancelado', 17, 3, 38, 196.7);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-04-17', 'Pendente', 36, 14, 37, 485.74);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-07-17', 'Pendente', 47, 11, 50, 228.85);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-08-21', 'Pendente', 49, 13, 2, 647.63);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-04-15', 'Confirmado', 38, 11, 50, 563.56);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-05-25', 'Cancelado', 48, 10, 31, 715.48);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-08-28', 'Cancelado', 6, 12, 26, 297.31);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-12-01', 'Confirmado', 33, 10, 22, 851.89);
INSERT INTO EVENTO (DATA_REALIZACAO, STATUS_EVENTO, FK_FOTOGRAFO, FK_TEMA, FK_CLIENTE, VALOR) VALUES ('2023-07-19', 'Pendente', 2, 4, 28, 209.05);
