INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (1, 0, 51.94, '2023-06-07', 4, 92, 'Pagina 1');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (2, 0, 26.89, '2023-06-07', 2, 64, 'Pagina 2');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (3, 0, 32.49, '2023-06-07', 5, 87, 'Pagina 3');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (4, 1, 35.5, '2023-06-07', 6, 27, 'Pagina 4');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (5, 0, 17.76, '2023-06-07', 5, 3, 'Pagina 5');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (6, 1, 18.58, '2023-06-07', 1, 42, 'Pagina 6');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (7, 0, 22.29, '2023-06-07', 4, 98, 'Pagina 7');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (8, 0, 13.7, '2023-06-07', 5, 4, 'Pagina 8');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (9, 0, 29.87, '2023-06-07', 8, 72, 'Pagina 9');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (10, 0, 51.41, '2023-06-07', 1, 76, 'Pagina 10');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (11, 1, 4.96, '2023-06-07', 1, 83, 'Pagina 11');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (12, 1, 15.07, '2023-06-07', 5, 39, 'Pagina 12');
INSERT INTO LOG_PAGINA_SITE (ID_LOG_PAGINA_SITE, SESSAO_ATIVA, TEMPO_DURACAO_SESSAO, DATA_SESSAO, QTD_NOVA_SESSAO, TOTAL_VIEW_PAGINA, LOG_PAGINA_SITECOL) VALUES (13, 1, 35.66, '2023-06-07', 6, 7, 'Pagina 13');
