INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Eventos', '2023-10-11 21:01:38', 12);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-10-15 21:01:38', 33);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Cerimonias', '2023-10-09 21:01:38', 7);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Cerimonias', '2023-09-29 21:01:38', 10);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Cerimonias', '2023-10-06 21:01:38', 30);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Vestidos de noiva', '2023-10-02 21:01:38', 47);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-10-08 21:01:38', 16);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-09-22 21:01:38', 33);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Cerimonias', '2023-09-23 21:01:38', 37);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Eventos', '2023-09-23 21:01:38', 10);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Vestidos de noiva', '2023-09-25 21:01:38', 10);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Vestidos de noiva', '2023-10-03 21:01:38', 20);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-10-04 21:01:38', 38);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Vestidos de noiva', '2023-09-22 21:01:38', 7);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-10-12 21:01:38', 35);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-09-21 21:01:38', 24);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-09-21 21:01:38', 39);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-09-20 21:01:38', 25);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-09-27 21:01:38', 29);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-09-21 21:01:38', 38);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-10-07 21:01:38', 37);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-10-09 21:01:38', 36);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Vestidos de noiva', '2023-09-17 21:01:38', 38);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Vestidos de noiva', '2023-10-05 21:01:38', 27);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-10-16 21:01:38', 28);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Cerimonias', '2023-09-28 21:01:38', 24);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Fotografia de casamento', '2023-09-29 21:01:38', 40);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-09-29 21:01:38', 26);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Eventos', '2023-10-15 21:01:38', 41);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Especiais', '2023-09-19 21:01:38', 5);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Vestidos de noiva', '2023-09-29 21:01:38', 39);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Eventos', '2023-09-19 21:01:38', 45);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-09-27 21:01:38', 46);
INSERT INTO tb_log_pesquisas (termo_busca, data_pesquisa, fk_usuario) VALUES ('Casamento', '2023-10-13 21:01:38', 2);
