INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-09-05 06:30:08', 'Desativado', '2023-01-16 16:42:59', 1);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-06-12 03:36:46', 'Desativado', '2023-02-23 18:02:56', 2);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-01-27 12:19:52', 'Desativado', '2023-05-17 09:38:18', 3);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-05-13 05:38:26', 'Ativo', '2023-09-16 01:40:24', 4);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-05-09 12:12:30', 'Desativado', '2023-02-23 13:28:51', 5);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-12-16 08:36:06', 'Ativo', '2023-02-28 00:43:21', 6);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-04-01 23:10:41', 'Desativado', '2023-06-25 20:12:25', 7);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-02-26 09:49:22', 'Ativo', '2023-04-08 09:50:27', 8);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-10-19 11:41:59', 'Ativo', '2023-03-21 21:19:15', 9);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-04-22 15:29:28', 'Ativo', '2023-11-23 20:18:38', 10);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-02-27 21:40:40', 'Desativado', '2023-11-16 00:01:49', 11);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-05-03 13:22:49', 'Ativo', '2023-07-11 22:21:18', 12);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-11-27 02:50:16', 'Ativo', '2023-01-20 20:51:51', 13);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-04-09 20:31:35', 'Desativado', '2023-01-28 01:36:53', 14);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-10-06 02:14:40', 'Ativo', '2023-05-12 19:18:02', 15);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-09-22 11:05:04', 'Desativado', '2023-09-19 21:58:21', 16);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-04-10 04:18:36', 'Desativado', '2023-09-24 12:23:54', 17);
INSERT INTO tb_log_sessao (data_modificacao, status_sessao, data_realizacao, fk_sessao) VALUES ('2023-09-12 12:26:53', 'Ativo', '2023-04-17 22:09:30', 18);
